company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
TCS,3.3,1.1L,9.9L,11.9k,3k,IT Services & Consulting,Bengaluru +439 other locations,10.6k,1
Accenture,3.7,72k,6.5L,9.2k,37.2k,IT Services & Consulting,Bengaluru +255 other locations,6.7k,1
Wipro,3.6,63.9k,4.8L,6.7k,5k,IT Services & Consulting,Hyderabad +370 other locations,4.6k,1
Cognizant,3.6,60.3k,6L,6.3k,618,IT Services & Consulting,Hyderabad +230 other locations,5.5k,1
Capgemini,3.7,51.9k,4.8L,5.5k,2.2k,IT Services & Consulting,Bengaluru +182 other locations,3.7k,1
HDFC Bank,3.8,51.1k,1.5L,3k,349,Banking,Mumbai +1836 other locations,3.2k,1
Infosys,3.5,47.7k,5.3L,8.4k,2.4k,IT Services & Consulting,Bengaluru +248 other locations,4.8k,1
ICICI Bank,4.0,45.2k,1.5L,2.9k,15,Banking,Mumbai +1440 other locations,3.7k,1
HCLTech,3.4,44.9k,3.8L,4.5k,286,IT Services & Consulting,Chennai +231 other locations,3.8k,1
Tech Mahindra,3.4,42.6k,2.8L,4.5k,630,IT Services & Consulting,Hyderabad +331 other locations,3.4k,1
Genpact,3.6,41.3k,2.3L,3.8k,1k,Analytics & KPO,Hyderabad +181 other locations,3.5k,1
Teleperformance,3.8,37.1k,96.1k,2.2k,1.5k,BPO,Mumbai +255 other locations,1.8k,1
Jio,4.4,33.3k,62.2k,4.2k,2,Telecom,Mumbai +1957 other locations,2.5k,1
Axis Bank,3.6,32.5k,1L,1.9k,201,Banking,Mumbai +1509 other locations,2.1k,1
Concentrix Corporation,3.6,31.6k,1.3L,2k,64,BPO,Bengaluru +178 other locations,3.1k,1
Amazon,3.9,30.9k,1.5L,5.8k,1.9k,Internet,Bengaluru +520 other locations,3.6k,1
iEnergizer,4.6,27.2k,24.1k,1.3k,93,BPO,Noida +52 other locations,430,1
Reliance Retail,3.9,27.1k,76k,1.9k,132,Retail,Mumbai +1157 other locations,1.8k,1
LTIMindtree,3.6,26k,1.9L,3.4k,501,IT Services & Consulting,Bengaluru +145 other locations,777,1
IBM,3.9,25.4k,2.1L,2.6k,2.3k,IT Services & Consulting,Bengaluru +161 other locations,2.6k,1
HDB Financial Services,3.9,25.3k,49.7k,1.1k,198,NBFC,Mumbai +1092 other locations,1.5k,2
Larsen & Toubro Limited,3.9,23.4k,75.2k,1.8k,191,Engineering & Construction,Chennai +761 other locations,2.5k,2
Deloitte,3.7,22.6k,2.5L,3.3k,1.4k,Management Consulting,Hyderabad +188 other locations,2.4k,2
Kotak Mahindra Bank,3.6,22k,87.3k,1.4k,157,Banking,Mumbai +687 other locations,1.3k,2
Reliance Industries,4.0,19.9k,73.2k,1.6k,121,Oil & Gas,Jamnagar +816 other locations,1.8k,2
Vodafone Idea,3.9,17.5k,49.8k,676,56,Telecom,Pune +704 other locations,2k,2
Bharti Airtel,3.8,16.9k,49.1k,1.1k,178,Telecom,Gurugram +794 other locations,1.6k,2
BYJU'S,3.2,16.4k,54.2k,2.1k,1,EdTech,Bengaluru +322 other locations,1.7k,2
WNS,3.3,14.9k,69.6k,1.2k,118,IT Services & Consulting,Pune +65 other locations,1.3k,2
IDFC FIRST Bank,3.9,14.2k,49.5k,934,43,Banking,Mumbai +715 other locations,692,2
Ernst & Young,3.4,14.1k,1.4L,1.3k,5k,Management Consulting,Bengaluru +132 other locations,1.1k,2
Tata Motors,4.1,14k,42.7k,1.2k,163,Automobile,Pune +508 other locations,1.6k,2
IndusInd Bank,3.4,14k,51.4k,762,88,Banking,Mumbai +792 other locations,796,2
AU Small Finance Bank,3.9,13.9k,29.6k,685,85,Banking,Jaipur +791 other locations,577,2
Bajaj Finserv,4.0,12.8k,30.3k,730,6,NBFC,Pune +1172 other locations,707,2
Muthoot FinCorp,4.5,12.8k,9k,2.3k,24,NBFC,Bengaluru +1107 other locations,275,2
Flipkart,3.9,12.7k,57.3k,1.6k,164,Internet,Bengaluru +558 other locations,1.4k,2
PwC,3.3,12.2k,1.2L,1.6k,1.1k,Management Consulting,Bengaluru +132 other locations,800,2
Mahindra & Mahindra,4.0,11.9k,40.1k,846,2,Automobile,Pune +563 other locations,1.2k,2
Infosys BPM,3.5,11.8k,73.7k,1.1k,71,BPO,Bengaluru +96 other locations,1.1k,2
DXC Technology,3.6,11.8k,72.9k,892,255,IT Services & Consulting,Bengaluru +133 other locations,1.1k,3
HDFC Life,3.9,11.8k,32.7k,785,98,Insurance,Mumbai +706 other locations,613,3
Bandhan Bank,3.7,10.8k,24.9k,744,47,Banking,Kolkata +998 other locations,517,3
Digitide Solutions,3.5,10.2k,26.4k,565,332,IT Services & Consulting,Hyderabad +270 other locations,772,3
Mphasis,3.3,10.1k,73.8k,922,61,IT Services & Consulting,Bengaluru +64 other locations,845,3
Yes Bank,3.6,10k,43.3k,550,193,Banking,Mumbai +541 other locations,608,3
Tata Steel,4.0,9.8k,34.1k,1.1k,--,Iron & Steel,Jamshedpur +229 other locations,659,3
Quess,3.8,9.6k,30.9k,537,41,Recruitment,Bengaluru +743 other locations,440,3
Maruti Suzuki,4.2,9.4k,28.6k,774,774,Automobile,Gurugram +452 other locations,1.1k,3
Asian Paints,3.9,9.4k,25.6k,844,67,Chemicals,Mumbai +552 other locations,884,3
Startek,3.1,9.3k,24.4k,628,173,BPO,Bengaluru +103 other locations,681,3
UltraTech Cement,4.1,9.3k,24.4k,790,26,Building Material,Mumbai +540 other locations,619,3
Paytm,3.2,9.2k,34.5k,886,834,FinTech,Noida +419 other locations,582,3
Bajaj Finance,3.9,9k,22.5k,433,6.8k,NBFC,Pune +976 other locations,502,3
Shriram Finance,4.0,9k,15.2k,444,17,NBFC,Chennai +1113 other locations,21,3
Sutherland Global Services,3.4,8.8k,35.1k,785,202,BPO,Chennai +84 other locations,901,3
Equitas Small Finance Bank,4.4,8.8k,13.5k,1k,26,Banking,Chennai +480 other locations,397,3
Cipla,4.1,8.5k,26.4k,594,84,Pharma,Mumbai +294 other locations,857,3
EXL Service,3.6,8.5k,44.2k,897,1.6k,Analytics & KPO,Noida +61 other locations,799,3
Wells Fargo,3.6,8.4k,56.4k,682,150,Financial Services,Bengaluru +27 other locations,855,3
Ericsson,3.9,8.3k,42.4k,471,37,Telecom,Noida +163 other locations,998,4
Samsung,3.9,8.3k,26.4k,624,16,Consumer Electronics & Appliances,Noida +585 other locations,520,4
Dr. Reddy's,4.0,8.1k,25.8k,505,13,Pharma,Hyderabad +214 other locations,740,4
Optum Global Solutions,4.0,7.8k,49.3k,759,175,IT Services & Consulting,Hyderabad +68 other locations,686,4
Delhivery,3.8,7.7k,21.4k,606,166,Logistics,Gurugram +759 other locations,656,4
JPMorgan Chase & Co.,3.8,7.7k,87.6k,865,1.8k,Financial Services,Bengaluru +55 other locations,845,4
JSW Steel,3.9,7.7k,31.1k,808,110,Iron & Steel,Ballari +193 other locations,602,4
ICICI Prudential Life Insurance,3.9,7.7k,22.9k,477,177,Insurance,Mumbai +506 other locations,625,4
HGS,3.7,7.5k,20.7k,274,33,BPO,Bengaluru +121 other locations,968,4
Jana Small Finance Bank,3.8,7.5k,14.4k,306,40,Banking,Bengaluru +418 other locations,623,4
Hexaware Technologies,3.4,7.5k,54.1k,822,429,IT Services & Consulting,Chennai +69 other locations,547,4
Ujjivan Small Finance Bank,4.0,7.5k,13.2k,319,472,Banking,Bengaluru +536 other locations,579,4
Sun Pharmaceutical Industries,4.1,7.5k,23.6k,663,361,Pharma,Vadodara +264 other locations,594,4
Amazon Development Centre India,3.8,7.4k,38.5k,884,4,Internet,Hyderabad +146 other locations,360,4
Lupin,4.1,7.3k,22.5k,442,45,Pharma,Pune +203 other locations,764,4
Ekart Logistics,3.9,7.2k,16k,406,--,Logistics,Bengaluru +741 other locations,422,4
L&T Construction,4.0,7.2k,19.2k,946,--,Engineering & Construction,Chennai +433 other locations,929,4
Zydus Lifesciences,3.9,7.2k,20.1k,425,28,Pharma,Ahmedabad +178 other locations,605,4
Hindustan Unilever,4.2,7.1k,20.1k,465,53,FMCG,Mumbai +540 other locations,704,4
KPMG India,3.4,7.1k,65.8k,929,105,Management Consulting,Bengaluru +112 other locations,749,4
ITC,3.9,7k,24.6k,692,81,FMCG,Bengaluru +377 other locations,638,5
Axis Max Life Insurance,4.0,7k,19.7k,406,168,Insurance,New Delhi +498 other locations,495,5
Megha Engineering & Infrastructures,3.9,6.8k,18.8k,564,55,Engineering & Construction,Hyderabad +407 other locations,539,5
Tata Projects,4.2,6.7k,22.4k,597,46,Engineering & Construction,Mumbai +286 other locations,540,5
Coforge,3.3,6.6k,49.2k,710,183,IT Services & Consulting,Noida +103 other locations,273,5
Bajaj Life Insurance,3.8,6.5k,17k,443,78,Insurance,Pune +615 other locations,474,5
FIS,3.8,6.5k,38.5k,533,126,FinTech,Pune +60 other locations,721,5
L&T Technology Services,3.1,6.5k,43k,629,--,IT Services & Consulting,Bengaluru +93 other locations,444,5
Cholamandalam Investment & Finance,3.8,6.4k,12.5k,282,32,Financial Services,Chennai +850 other locations,293,5
Oracle,3.5,6.3k,63k,948,892,Software Product,Bengaluru +56 other locations,617,5
Omega Healthcare,3.8,6.3k,26.7k,547,149,BPO,Chennai +69 other locations,391,5
IIFL Finance,4.0,6.3k,13.8k,325,57,NBFC,Mumbai +804 other locations,399,5
Muthoot Finance,3.7,6.3k,12.9k,350,111,NBFC,Bengaluru +788 other locations,325,5
JLL,4.1,6.2k,24.3k,482,430,Real Estate,Gurugram +84 other locations,539,5
Indian Army,4.7,6.2k,9.5k,204,--,Defence & Aerospace,New Delhi +363 other locations,728,5
eClerx,3.1,6.2k,32.3k,633,449,IT Services & Consulting,Pune +32 other locations,555,5
HCL Group,3.5,6.1k,39.6k,516,--,IT Services & Consulting,Chennai +97 other locations,661,5
Virtusa Consulting Services,3.7,6k,56.9k,672,1.4k,IT Services & Consulting,Hyderabad +55 other locations,318,5
DMart,3.9,6k,18.5k,548,205,Retail,Mumbai +247 other locations,470,5
Piramal Finance,4.2,6k,11.7k,293,9,NBFC,Mumbai +425 other locations,445,5
HSBC Group,3.9,5.9k,43.5k,546,125,Financial Services,Bengaluru +63 other locations,1.1k,6
Indiamart Intermesh,3.5,5.9k,20.8k,748,525,Internet,Noida +173 other locations,432,6
PolicyBazaar,3.8,5.9k,17.3k,628,573,Internet,Gurugram +149 other locations,231,6
SMFG India Credit,3.9,5.8k,11k,208,92,NBFC,Mumbai +596 other locations,348,6
Access Healthcare,3.7,5.8k,28.5k,397,1.2k,BPO,Chennai +63 other locations,347,6
Aurobindo Pharma,4.0,5.7k,20.6k,289,32,Pharma,Hyderabad +115 other locations,468,6
BigBasket,3.9,5.7k,19.2k,481,95,Internet,Bengaluru +141 other locations,381,6
Siemens,3.9,5.7k,33.9k,506,55,Industrial Automation,Bengaluru +153 other locations,632,6
Udaan,3.9,5.7k,15.7k,373,10,Internet,Bengaluru +367 other locations,755,6
Manappuram Finance,3.9,5.7k,9.5k,222,7,NBFC,Bengaluru +656 other locations,260,6
GlobalLogic,3.5,5.7k,40.8k,679,38,IT Services & Consulting,Hyderabad +60 other locations,515,6
Firstsource Solutions,3.5,5.7k,24.5k,362,154,BPO,Bengaluru +74 other locations,570,6
Tata Capital,4.0,5.6k,16.2k,269,4.4k,NBFC,Mumbai +445 other locations,257,6
ICICI Lombard General Insurance Company,3.5,5.6k,20.6k,355,198,Insurance,Mumbai +316 other locations,366,6
Shapoorji Pallonji Group,4.1,5.6k,15.2k,425,82,Engineering & Construction,Mumbai +190 other locations,632,6
Standard Chartered,3.6,5.6k,41.9k,322,--,Banking,Chennai +67 other locations,305,6
UST,3.7,5.6k,39.6k,590,212,IT Services & Consulting,Bengaluru +51 other locations,408,6
Apollo Hospitals,4.1,5.6k,16.6k,481,209,Healthcare,Chennai +227 other locations,507,6
Mahindra Finance,3.9,5.6k,12.2k,219,548,NBFC,Mumbai +734 other locations,507,6
Bosch Global Software Technologies,3.7,5.5k,40.3k,390,29,IT Services & Consulting,Bengaluru +47 other locations,625,6
Ashok Leyland,4.0,5.5k,18.9k,322,2,Automobile,Chennai +265 other locations,642,7
Swiggy,3.7,5.5k,23.2k,568,166,Internet,Bengaluru +232 other locations,339,7
Citicorp,3.7,5.4k,52.8k,626,--,Financial Services,Pune +68 other locations,517,7
Hero MotoCorp,4.1,5.4k,15.9k,407,1,Automobile,Gurugram +367 other locations,584,7
CGI Group,4.0,5.3k,45.9k,558,938,IT Services & Consulting,Bengaluru +43 other locations,354,7
Cyient,3.6,5.3k,27.7k,331,90,IT Services & Consulting,Hyderabad +49 other locations,466,7
SBI Cards & Payment Services,3.6,5.2k,16.1k,304,62,Financial Services,Gurugram +443 other locations,344,7
BNY,3.6,5.2k,31.2k,399,7,Financial Services,Pune +26 other locations,528,7
Kalpataru Projects International,4.2,5.2k,13.8k,330,3,Engineering & Construction,Mumbai +322 other locations,203,7
IQVIA,3.7,5.1k,30.7k,550,34,Clinical Research,Bengaluru +65 other locations,524,7
JustDial,3.5,5.1k,15.3k,393,61,Internet,Noida +231 other locations,372,7
NTT DATA,3.8,5.1k,36.1k,747,122,IT Services & Consulting,Bengaluru +81 other locations,156,7
Nagarjuna Construction Company,4.0,5.1k,12.3k,439,14,Engineering & Construction,Hyderabad +298 other locations,408,7
SBI Life Insurance Company,3.7,5k,11.9k,308,12,Insurance,Mumbai +657 other locations,327,7
Schneider Electric,4.1,5k,24.8k,455,32,Industrial Automation,Bengaluru +119 other locations,436,7
CBRE,4.1,5k,18.8k,347,21,Real Estate,Hyderabad +91 other locations,443,7
TVS Motor,3.9,5k,15.9k,399,69,Automobile,Hosur +351 other locations,537,7
Persistent Systems,3.6,5k,45.2k,709,375,IT Services & Consulting,Pune +41 other locations,369,7
State Bank of India,3.8,4.9k,11.7k,309,10,Banking,Mumbai +619 other locations,400,7
vivo,4.1,4.9k,13k,237,5,Consumer Electronics & Appliances,Noida +415 other locations,643,7
Atos,3.8,4.9k,34k,408,112,IT Services & Consulting,Pune +49 other locations,456,8
Ecom Express,4.0,4.8k,9.7k,263,--,Logistics,Gurugram +777 other locations,323,8
KEC International,4.0,4.8k,13.4k,419,4,Engineering & Construction,Mumbai +312 other locations,441,8
Amdocs,3.6,4.8k,37.2k,561,12,Software Product,Pune +24 other locations,614,8
Eviden,3.6,4.8k,27.9k,316,1,IT Services & Consulting,Pune +39 other locations,1,8
JBM Group,3.9,4.8k,14.1k,348,71,Auto Components,Gurugram +117 other locations,342,8
ITC Infotech,3.8,4.7k,29.6k,414,88,IT Services & Consulting,Bengaluru +68 other locations,281,8
Varun Beverages,4.0,4.7k,12.4k,348,44,Beverage,New Delhi +381 other locations,321,8
Nagarro,3.9,4.7k,32.8k,835,374,IT Services & Consulting,Gurugram +49 other locations,1.1k,8
Bosch,4.1,4.6k,21k,382,--,Auto Components,Bengaluru +132 other locations,599,8
Randstad,3.7,4.6k,16.6k,327,7,Recruitment,Hyderabad +357 other locations,342,8
EY Global Delivery Services ( EY GDS),3.5,4.6k,49.9k,886,11,IT Services & Consulting,Bengaluru +56 other locations,264,8
Utkarsh Small Finance Bank,3.6,4.6k,11.1k,306,30,Banking,Varanasi +407 other locations,270,8
Hewlett Packard Enterprise,4.1,4.6k,27.3k,267,299,IT Services & Consulting,Bengaluru +104 other locations,546,8
Home Credit Finance,4.0,4.5k,9.4k,148,100,NBFC,Gurugram +137 other locations,629,8
Aditya Birla Fashion and Retail,4.1,4.5k,13.2k,266,99,Fashion & Textile,Bengaluru +292 other locations,391,8
L&T Finance,3.9,4.5k,11.9k,218,--,NBFC,Mumbai +636 other locations,261,8
Mahindra Logistics,3.7,4.5k,13k,252,--,Logistics,Mumbai +235 other locations,445,8
Cars24,3.4,4.5k,15.5k,407,80,Internet,Gurugram +171 other locations,410,8
Havells,3.9,4.5k,14.7k,293,34,Electrical Equipment,Noida +262 other locations,315,8
Dell,3.8,4.5k,28.8k,425,37,Consumer Electronics & Appliances,Bengaluru +118 other locations,540,9
R1 RCM,3.8,4.5k,21.5k,358,209,BPO,New Delhi +46 other locations,335,9
Intas Pharmaceuticals,4.1,4.5k,17.2k,262,59,Pharma,Ahmedabad +150 other locations,362,9
OPPO,3.9,4.5k,11.8k,251,1,Consumer Electronics & Appliances,Greater Noida +411 other locations,602,9
Tata AIA Life Insurance,3.9,4.4k,14.5k,253,705,Insurance,Mumbai +444 other locations,298,9
Hyundai Motor India Limited,4.1,4.4k,14k,326,--,Automobile,Chennai +286 other locations,519,9
Hetero,3.9,4.4k,15.2k,316,172,Pharma,Hyderabad +67 other locations,332,9
Deutsche Bank,3.8,4.4k,36.6k,423,517,Banking,Pune +42 other locations,399,9
Motilal Oswal Financial Services,3.7,4.3k,13k,545,50,Financial Services,Mumbai +170 other locations,167,9
Berger Paints,3.7,4.3k,10.5k,431,131,Chemicals,Kolkata +357 other locations,273,9
TeamLease Services,3.9,4.3k,16.2k,250,2,Recruitment,Bengaluru +400 other locations,215,9
Lenskart,3.3,4.3k,13.3k,448,169,Internet,New Delhi +239 other locations,199,9
VE Commercial Vehicles,3.9,4.2k,14.2k,285,4,Automobile,Indore +180 other locations,340,9
Thermax Limited,4.2,4.2k,13.1k,341,78,Industrial Machinery,Pune +255 other locations,371,9
Bajaj Auto,3.8,4.2k,14.4k,325,--,Automobile,Pune +320 other locations,496,9
Macleods Pharmaceuticals,3.7,4.1k,15.6k,269,14,Pharma,Mumbai +135 other locations,334,9
Aakash Educational Services,3.2,4.1k,13.7k,372,59,Education & Training,New Delhi +246 other locations,212,9
Jubilant Foods Works,3.7,4.1k,9.5k,252,232,Hospitality,New Delhi +261 other locations,180,9
Kogta Financial India Limited,4.7,4.1k,1.8k,248,131,NBFC,Jaipur +260 other locations,31,9
LG Electronics,3.9,4.1k,11.1k,260,--,Consumer Electronics & Appliances,Pune +300 other locations,399,9
Hindalco Industries,4.2,4.1k,12.6k,304,9,Metals & Mining,Sambalpur +128 other locations,327,10
Jindal Steel Limited,3.9,4.1k,15.6k,418,52,Iron & Steel,Angul +174 other locations,328,10
Royal Enfield,4.2,4k,15k,203,17,Automobile,Chennai +374 other locations,396,10
State Street Corporation,3.5,4k,31.7k,290,7,Financial Services,Bengaluru +35 other locations,262,10
DCB Bank,3.8,4k,9.4k,229,26,Banking,Mumbai +344 other locations,248,10
HDFC Ergo General Insurance,4.0,4k,12.1k,199,56,Insurance,Mumbai +327 other locations,273,10
Tata Communications,3.9,4k,23.6k,301,292,Telecom,Pune +102 other locations,426,10
John Deere,4.0,4k,15.3k,268,2,Industrial Machinery,Pune +154 other locations,417,10
RBL Bank,3.5,4k,18.3k,240,32,Banking,Mumbai +287 other locations,221,10
Cummins,4.3,3.9k,15.5k,288,74,Industrial Machinery,Pune +116 other locations,458,10
Publicis Sapient,3.3,3.9k,31k,695,218,IT Services & Consulting,Bengaluru +46 other locations,391,10
Bank of America,4.1,3.9k,28.5k,293,--,Banking,Gurugram +35 other locations,414,10
Oyo Rooms,3.0,3.9k,14.3k,258,172,Internet,Gurugram +121 other locations,389,10
Pidilite Industries,4.2,3.9k,11.5k,257,14,Chemicals,Mumbai +317 other locations,359,10
Alembic Pharmaceuticals,3.9,3.9k,15.5k,255,83,Pharma,Vadodara +187 other locations,378,10
Subros,3.8,3.8k,12.6k,217,1,Auto Components,Noida +89 other locations,379,10
American Express,4.1,3.8k,25.1k,427,178,Financial Services,Gurugram +53 other locations,435,10
Reliance Communications,4.0,3.8k,9.5k,106,--,Telecom,Mumbai +468 other locations,375,10
Carelon Global Solutions,3.9,4.1k,28.1k,419,49,IT Services & Consulting,Bengaluru +21 other locations,7,10
Aditya Birla Sun Life Insurance,4.0,3.8k,10.1k,181,--,Insurance,Mumbai +492 other locations,214,10
Grasim Industries,4.0,3.8k,12.7k,277,5,Building Material,Bharuch +246 other locations,267,11
XpressBees,4.2,3.8k,8.2k,443,11,Logistics,Pune +478 other locations,176,11
Altruist Technologies,4.4,3.8k,8.3k,719,9,BPO,Bengaluru +44 other locations,83,11
Automatic Data Processing (ADP),3.9,3.8k,22k,292,41,Software Product,Hyderabad +41 other locations,457,11
Viatris,4.1,3.8k,14.2k,165,6,Pharma,Hyderabad +80 other locations,500,11
Kyndryl,4.0,3.8k,26.2k,226,50,IT Services & Consulting,Bengaluru +37 other locations,163,11
PNB MetLife,3.3,3.8k,8.2k,193,18,Insurance,New Delhi +424 other locations,217,11
PVR INOX,3.9,3.8k,9.4k,214,19,Media & Entertainment,New Delhi +149 other locations,242,11
Escorts Kubota Limited,4.1,3.7k,13.3k,296,3,Automobile,Faridabad +157 other locations,255,11
Aditya Birla Capital,3.8,3.7k,14.1k,259,1,NBFC,Mumbai +341 other locations,212,11
Maersk,4.0,3.7k,19k,249,52,Logistics,Chennai +49 other locations,421,11
Synechron,3.4,3.7k,28.3k,406,62,IT Services & Consulting,Pune +32 other locations,239,11
KPIT Technologies,2.9,3.7k,23.2k,344,15,Software Product,Pune +43 other locations,290,11
Birlasoft,3.5,3.7k,29.9k,315,479,IT Services & Consulting,Pune +50 other locations,235,11
Glenmark Pharmaceuticals,3.8,3.6k,12.2k,180,129,Pharma,Mumbai +186 other locations,317,11
JK Cement,4.0,3.6k,10.1k,335,1,Building Material,New Delhi +329 other locations,257,11
Dabur,3.8,3.6k,8.8k,330,17,FMCG,New Delhi +321 other locations,276,11
Sodexo,4.0,3.6k,9.8k,203,1.3k,Facility Management Services,Mumbai +158 other locations,364,11
Kotak Mahindra Life Insurance Company,3.5,3.6k,12.9k,261,141,Insurance,Mumbai +257 other locations,256,11
Bharat Electronics,4.2,3.6k,12.4k,245,1,Electronics Manufacturing,Bengaluru +87 other locations,312,11
Godrej & Boyce Manufacturing,3.9,3.6k,15k,227,44,Consumer Electronics & Appliances,Mumbai +166 other locations,412,12
Cogent E Services,3.1,3.6k,10.3k,294,2,BPO,Noida +56 other locations,220,12
Samvardhana Motherson Group,3.7,3.6k,12.2k,259,11,Auto Components,Noida +94 other locations,403,12
Abbott,4.1,3.6k,12k,182,235,Pharma,Mumbai +214 other locations,361,12
Cloudnine Hospital,4.4,3.6k,2.9k,1.1k,21,Healthcare,Bengaluru +46 other locations,78,12
Ipca Laboratories,3.8,3.6k,11.5k,206,52,Pharma,Mumbai +161 other locations,245,12
Aarti Industries,4.1,3.6k,14.4k,331,24,Agro Chemicals,Bharuch +58 other locations,351,12
Reliance Projects & Property Management Services,4.0,3.5k,7.3k,210,--,Other,Kolkata +620 other locations,20,12
PhonePe,4.1,3.5k,13k,416,45,FinTech,Bengaluru +397 other locations,183,12
Indian Oil Corporation,4.3,3.5k,7.7k,236,--,Oil & Gas,New Delhi +313 other locations,291,12
Reliance Digital,4.2,3.5k,8.2k,169,--,Retail,Mumbai +379 other locations,241,12
MRF Tyres,3.6,3.5k,12.7k,374,24,Auto Components,Chennai +193 other locations,345,12
Alkem Laboratories,3.9,3.5k,9.9k,196,22,Pharma,Mumbai +200 other locations,328,12
Johnson Controls,3.5,3.5k,17.6k,303,4,Industrial Automation,Pune +57 other locations,266,12
IGT Solutions,3.2,3.5k,13.5k,255,143,BPO,New Delhi +47 other locations,213,12
UNO Minda,3.9,3.5k,11.3k,257,17,Auto Components,Pune +110 other locations,279,12
"NTT DATA, Inc.",3.9,3.5k,21.2k,153,85,IT Services & Consulting,Bengaluru +36 other locations,624,12
Honda Motorcycle & Scooter,4.1,3.5k,11.1k,203,--,Automobile,Gurugram +298 other locations,348,12
ArcelorMittal Nippon Steel,4.1,3.4k,11.8k,274,6,Iron & Steel,Surat +86 other locations,111,12
Blinkit,3.8,3.4k,12.8k,337,--,Internet,Gurugram +149 other locations,202,12
[24]7.ai,3.4,3.4k,11.7k,186,97,Software Product,Bengaluru +36 other locations,406,13
Vishal Mega Mart,3.8,3.4k,6.2k,210,2,Retail,New Delhi +378 other locations,273,13
Hindustan Coca Cola Beverages,4.0,3.4k,7.7k,179,43,Beverage,Bengaluru +262 other locations,377,13
UBS,3.8,3.4k,31.8k,372,--,Financial Services,Pune +19 other locations,117,13
DTDC Express,3.7,3.4k,8.9k,195,37,Logistics,New Delhi +271 other locations,263,13
IndusInd Nippon Life Insurance,3.4,3.4k,784,171,2,Mumbai +488 other locations,,229,13
Bajaj General Insurance Limited,3.7,3.4k,10.8k,139,151,Insurance,Pune +303 other locations,236,13
Ford Motor,4.2,3.3k,15.2k,175,3,Automobile,Chennai +131 other locations,398,13
